KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate,Target
-2,0,0,2,-16,-19,-0.1807181889149102,-21,-25,-0.21570717839374548,0,1,0.0,-16,-19,-0.2031853281853282,1,1,0.15000000000000002,-1,-1,-1.0,-15,-18,-0.1798263745349318,1,1,1.0,-2,-2,-1.0,0
0,0,0,-248,58,69,0.30682098005417396,77,87,0.25269461077844313,1,-1,0.19047619047619052,40,47,0.36418887330528293,4,7,0.033333333333333326,14,15,0.11956521739130432,38,47,0.24532710280373832,20,22,0.375,0,0,0.0,1
1,0,0,141,46,77,0.08488372093023266,39,70,-0.00031525851197988786,0,-2,0.0,34,61,0.1257253384912959,16,21,-0.03076923076923077,-4,-5,-0.8,25,45,0.13333333333333336,20,31,-0.0874125874125875,1,1,1.0,1
0,-3,0,300,-6,-13,-0.011876075731497404,18,14,0.07071061243571763,2,3,0.11428571428571432,0,-11,0.05372405372405381,0,4,-0.23931623931623935,-6,-6,-0.10909090909090913,-5,-10,-0.02824858757062143,-1,-2,0.0505050505050505,0,-1,0.33333333333333337,1
0,2,0,-28,1,0,1.0,-3,-4,0.1428571428571429,0,-1,0.0,0,-1,0.0,1,1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,1
-2,0,0,-2,-26,-40,-0.08553642169940973,-26,-40,-0.08553642169940973,0,0,0.0,-33,-60,-0.21269841269841278,-6,-5,-0.2897727272727273,13,25,-0.21171171171171177,-18,-28,-0.06416066826624012,-4,-7,-0.5714285714285714,-4,-5,-0.8,0
-2,0,0,-8,-50,-46,-0.3220577871740662,-51,-47,-0.32593110683685955,0,1,0.0,-48,-39,-0.36494314524780097,-5,-11,-0.09523809523809518,3,4,0.75,-45,-39,-0.3092093023255814,0,0,0.0,-5,-7,-0.7142857142857143,0
-1,-1,0,0,-32,-41,-0.4166666666666667,-76,-93,-0.46875000000000006,1,3,0.3333333333333333,-31,-41,-0.7380952380952381,-2,-2,-1.0,1,2,0.5,-1,-1,-0.16666666666666669,-25,-25,-1.0,-6,-15,-0.4,0
0,1,0,252,-4,-38,0.1069915254237288,8,-20,0.14125874125874127,8,13,0.5714285714285714,-6,-27,0.014294222751637886,1,3,-0.006493506493506496,1,-14,0.4,-3,-38,0.1198193111236589,0,0,0.0,-1,0,-0.3333333333333333,1
0,-1,1,709,-9,-3,-0.21224165341812412,26,35,-0.010496943927717162,8,13,0.6153846153846154,3,7,0.008695652173913049,-10,-8,-0.6666666666666666,-2,-2,-1.0,-5,-6,-0.15601023017902818,-1,1,-0.41666666666666663,-3,2,-0.3846153846153846,1
