Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
W,Brendan Allen,0,112 of 222,50%,128 of 242,6 of 13,46%,0,0,6:05,72 of 172,25 of 34,15 of 16,108 of 214,4 of 8,0 of 0
L,Chris Curtis,0,124 of 241,51%,141 of 261,0 of 0,---,0,2,1:18,96 of 205,25 of 33,3 of 3,122 of 237,2 of 4,0 of 0
L,Alexander Hernandez,1,32 of 87,36%,56 of 119,0 of 0,---,0,0,2:22,20 of 69,6 of 11,6 of 7,29 of 80,0 of 3,3 of 4
W,Damon Jackson,0,42 of 85,49%,85 of 135,3 of 7,42%,0,0,6:18,20 of 60,10 of 12,12 of 13,30 of 68,11 of 16,1 of 1
L,Morgan Charriere,0,49 of 104,47%,75 of 139,2 of 5,40%,1,1,3:42,30 of 83,16 of 17,3 of 4,45 of 98,4 of 6,0 of 0
W,Chepe Mariscal,0,71 of 137,51%,121 of 199,1 of 8,12%,0,1,3:38,42 of 94,10 of 19,19 of 24,50 of 110,12 of 17,9 of 10
W,Ignacio Bahamondes,1,40 of 68,58%,40 of 69,0 of 0,---,0,0,0:15,26 of 53,8 of 9,6 of 6,33 of 56,7 of 12,0 of 0
L,Christos Giagos,0,17 of 45,37%,18 of 46,0 of 1,0%,0,0,0:10,7 of 31,3 of 7,7 of 7,16 of 44,1 of 1,0 of 0
L,Trevor Peek,0,47 of 97,48%,62 of 118,2 of 3,66%,0,0,3:15,32 of 77,6 of 11,9 of 9,34 of 81,10 of 11,3 of 5
W,Charlie Campbell,0,54 of 100,54%,100 of 153,4 of 10,40%,0,1,5:41,20 of 50,18 of 29,16 of 21,40 of 80,13 of 18,1 of 2
L,Court McGee,0,60 of 160,37%,78 of 184,1 of 6,16%,0,0,3:20,14 of 73,29 of 55,17 of 32,52 of 148,0 of 1,8 of 11
W,Alex Morono,0,38 of 141,26%,42 of 149,0 of 0,---,1,0,0:00,26 of 118,9 of 18,3 of 5,38 of 139,0 of 2,0 of 0
L,Valter Walker,0,33 of 67,49%,56 of 101,4 of 5,80%,0,1,7:19,19 of 50,6 of 8,8 of 9,23 of 53,2 of 5,8 of 9
